CA,NY,FL,TX,IL,WA,AGE,MAR,SEX,YES_STEM,NO_STEM,UNKNOWN_INDUSTRY,INCOME
0,0,0,0,0,1,29,0,1,1,0,0,144000
0,0,0,0,0,1,23,0,1,0,0,1,40000
0,0,0,0,0,1,26,0,1,0,0,1,12000
0,0,0,0,0,1,24,0,0,0,0,1,28000
0,0,0,0,0,1,28,1,0,0,0,1,700
0,0,0,0,0,1,34,1,1,0,0,1,41900
0,0,0,0,0,1,26,0,1,1,0,0,23000
0,0,0,0,0,1,27,0,1,1,0,0,26000
0,0,0,0,0,1,26,0,1,1,0,0,26000
0,0,0,0,0,1,29,1,1,1,0,0,111700
0,0,0,0,0,1,32,1,0,1,0,0,93000
0,0,0,0,0,1,29,1,1,0,0,1,45000
0,0,0,0,0,1,25,1,1,0,0,1,27000
0,0,0,0,0,1,26,1,0,1,0,0,2000
0,0,0,0,0,1,34,0,0,0,0,1,60000
0,0,0,0,0,1,22,0,0,0,0,1,25000
0,0,0,0,0,1,24,0,0,0,0,1,29500
0,0,0,0,0,1,30,0,1,1,0,0,84000
0,0,0,0,0,1,35,1,1,0,0,1,51000
0,0,0,0,0,1,34,1,0,0,0,1,18000
0,0,0,0,0,1,31,1,1,0,0,1,72000
0,0,0,0,0,1,33,1,0,0,0,1,1480
0,0,0,0,0,1,31,1,1,0,0,1,36000
0,0,0,0,0,1,31,1,0,1,0,0,15000
0,0,0,0,0,1,28,0,1,0,0,1,65000
0,0,0,0,0,1,34,1,0,0,0,1,23000
0,0,0,0,0,1,27,1,1,0,0,1,10150
0,0,0,0,0,1,31,1,1,0,0,1,150000
0,0,0,0,0,1,28,1,0,1,0,0,39500
0,0,0,0,0,1,30,1,1,0,0,1,50000
0,0,0,0,0,1,32,1,0,0,0,1,21000
0,0,0,0,0,1,34,0,0,0,0,1,8100
0,0,0,0,0,1,30,0,0,0,0,1,10600
0,0,0,0,0,1,26,0,1,0,0,1,18000
0,0,0,0,0,1,33,0,1,0,0,1,4100
0,0,0,0,0,1,28,0,0,0,0,1,19700
0,0,0,0,0,1,25,0,0,0,0,1,10800
0,0,0,0,0,1,25,1,1,1,0,0,11100
0,0,0,0,0,1,25,1,0,0,0,1,27100
0,0,0,0,0,1,33,0,1,0,0,1,43000
0,0,0,0,0,1,24,1,1,0,0,1,20000
0,0,0,0,0,1,23,0,1,0,0,1,10000
0,0,0,0,0,1,35,0,0,0,0,1,150200
0,0,0,0,0,1,26,1,1,1,0,0,48200
0,0,0,0,0,1,28,1,0,1,0,0,25000
0,0,0,0,0,1,27,0,0,0,0,1,21300
0,0,0,0,0,1,35,0,0,0,0,1,11200
0,0,0,0,0,1,24,0,0,0,0,1,60000
0,0,0,0,0,1,27,0,1,0,0,1,60000
0,0,0,0,0,1,27,1,1,1,0,0,28000
0,0,0,0,0,1,25,1,0,0,0,1,28000
0,0,0,0,0,1,31,1,1,0,0,1,60000
0,0,0,0,0,1,22,0,0,1,0,0,12000
0,0,0,0,0,1,30,0,0,1,0,0,55000
0,0,0,0,0,1,29,1,0,0,0,1,20000
0,0,0,0,0,1,25,0,0,0,0,1,20000
0,0,0,0,0,1,27,0,1,1,0,0,74300
0,0,0,0,0,1,27,1,0,0,0,1,19000
0,0,0,0,0,1,27,1,1,0,0,1,7000
0,0,0,0,0,1,24,0,1,0,0,1,11000
0,0,0,0,0,1,26,1,1,1,0,0,65000
0,0,0,0,0,1,25,1,0,0,0,1,15000
0,0,0,0,0,1,33,0,0,0,0,1,30000
0,0,0,0,0,1,23,0,1,0,0,1,35000
0,0,0,0,0,1,28,0,1,0,0,1,22000
0,0,0,0,0,1,25,0,0,0,0,1,30000
0,0,0,0,0,1,30,0,1,1,0,0,10000
0,0,0,0,0,1,31,1,1,0,0,1,38000
0,0,0,0,0,1,31,1,0,1,0,0,35000
0,0,0,0,0,1,29,0,0,1,0,0,48720
0,0,0,0,0,1,30,0,0,0,0,1,47000
0,0,0,0,0,1,23,0,1,0,0,1,25000
0,0,0,0,0,1,22,0,1,0,0,1,5000
0,0,0,0,0,1,30,0,0,0,0,1,48000
0,0,0,0,0,1,22,0,0,0,0,1,19000
0,0,0,0,0,1,22,0,0,0,0,1,10000
0,0,0,0,0,1,32,1,0,0,0,1,5400
0,0,0,0,0,1,30,0,1,0,0,1,30100
0,0,0,0,0,1,25,0,0,0,0,1,18000
0,0,0,0,0,1,31,0,0,0,0,1,25100
0,0,0,0,0,1,32,0,1,0,0,1,20000
0,0,0,0,0,1,32,1,1,0,0,1,15000
0,0,0,0,0,1,30,1,0,0,0,1,800
0,0,0,0,0,1,24,1,1,0,0,1,7000
0,0,0,0,0,1,32,0,1,0,0,1,18000
0,0,0,0,0,1,24,0,0,0,0,1,24000
0,0,0,0,0,1,23,0,1,0,0,1,3500
0,0,0,0,0,1,35,1,1,1,0,0,159000
0,0,0,0,0,1,28,1,0,0,0,1,7000
0,0,0,0,0,1,33,1,0,1,0,0,47020
0,0,0,0,0,1,35,1,1,1,0,0,24020
0,0,0,0,0,1,34,0,1,0,0,1,67020
0,0,0,0,0,1,23,0,0,0,0,1,14000
0,0,0,0,0,1,32,1,1,0,0,1,33800
0,0,0,0,0,1,26,1,0,0,0,1,4000
0,0,0,0,0,1,25,0,1,0,0,1,7000
0,0,0,0,0,1,34,0,0,0,0,1,20000
0,0,0,0,0,1,22,1,1,0,0,1,25000
0,0,0,0,0,1,32,1,1,0,0,1,85000
0,0,0,0,0,1,31,1,0,0,0,1,53800
0,0,0,0,0,1,27,0,1,0,0,1,38000
0,0,0,0,0,1,35,1,0,0,0,1,43000
0,0,0,0,0,1,34,1,1,1,0,0,57000
0,0,0,0,0,1,32,1,1,1,0,0,259000
0,0,0,0,0,1,26,1,1,1,0,0,20000
0,0,0,0,0,1,25,1,0,1,0,0,38000
0,0,0,0,0,1,29,0,0,0,0,1,2000
0,0,0,0,0,1,24,0,1,0,0,1,82000
0,0,0,0,0,1,28,0,1,0,0,1,4800
0,0,0,0,0,1,28,1,1,1,0,0,70000
0,0,0,0,0,1,28,1,0,1,0,0,70000
0,0,0,0,0,1,24,1,0,0,0,1,41900
0,0,0,0,0,1,30,0,0,0,0,1,2600
0,0,0,0,0,1,35,0,1,0,0,1,40000
0,0,0,0,0,1,23,0,0,0,0,1,20400
0,0,0,0,0,1,26,0,1,1,0,0,68000
0,0,0,0,0,1,34,1,1,0,0,1,95000
0,0,0,0,0,1,33,1,0,0,0,1,1100
0,0,0,0,0,1,31,0,1,0,0,1,7900
0,0,0,0,0,1,24,0,0,0,0,1,9800
0,0,0,0,0,1,24,0,1,0,0,1,25000
0,0,0,0,0,1,32,0,0,0,0,1,12000
0,0,0,0,0,1,34,1,1,0,0,1,25000
0,0,0,0,0,1,34,1,0,0,0,1,25300
0,0,0,0,0,1,26,1,1,0,0,1,45000
0,0,0,0,0,1,25,0,1,0,0,1,25000
0,0,0,0,0,1,30,0,1,1,0,0,18000
0,0,0,0,0,1,23,0,0,1,0,0,8000
0,0,0,0,0,1,27,0,0,0,0,1,13000
0,0,0,0,0,1,27,0,0,0,0,1,17000
0,0,0,0,0,1,22,0,1,0,0,1,5000
0,0,0,0,0,1,29,1,1,0,0,1,18000
0,0,0,0,0,1,29,1,1,1,0,0,35000
0,0,0,0,0,1,27,1,0,1,0,0,5000
0,0,0,0,0,1,35,1,1,0,0,1,46000
0,0,0,0,0,1,25,0,0,0,0,1,44000
0,0,0,0,0,1,29,1,1,0,0,1,22300
0,0,0,0,0,1,25,1,0,0,0,1,35200
0,0,0,0,0,1,24,0,0,1,0,0,29000
0,0,0,0,0,1,34,1,0,0,0,1,24000
0,0,0,0,0,1,31,1,1,0,0,1,21480
0,0,0,0,0,1,33,1,0,0,0,1,40000
0,0,0,0,0,1,27,1,1,0,0,1,15000
0,0,0,0,0,1,30,0,1,0,0,1,30000
0,0,0,0,0,1,28,1,0,0,0,1,28100
0,0,0,0,0,1,32,1,1,0,0,1,59000
0,0,0,0,0,1,24,1,1,0,0,1,12800
0,0,0,0,0,1,25,0,0,0,0,1,19000
0,0,0,0,0,1,26,0,1,0,0,1,8800
0,0,0,0,0,1,30,1,0,0,0,1,1000
0,0,0,0,0,1,35,0,0,0,0,1,14700
0,0,0,0,0,1,23,0,1,0,0,1,12000
0,0,0,0,0,1,30,0,1,0,0,1,36000
0,0,0,0,0,1,23,0,0,1,0,0,19210
0,0,0,0,0,1,26,0,0,1,0,0,20010
0,0,0,0,0,1,26,0,0,1,0,0,30020
0,0,0,0,0,1,35,1,1,0,0,1,100000
0,0,0,0,0,1,34,1,0,1,0,0,52000
0,0,0,0,0,1,28,0,0,1,0,0,42700
0,0,0,0,0,1,23,0,0,1,0,0,15550
0,0,0,0,0,1,35,0,0,0,0,1,10000
0,0,0,0,0,1,33,0,1,0,0,1,24000
0,0,0,0,0,1,22,1,1,0,0,1,13000
0,0,0,0,0,1,34,1,1,0,0,1,34600
0,0,0,0,0,1,34,1,0,0,0,1,11000
0,0,0,0,0,1,32,0,1,1,0,0,40000
0,0,0,0,0,1,25,0,0,0,0,1,50000
0,0,0,0,0,1,28,0,1,0,0,1,23000
0,0,0,0,0,1,25,0,1,0,0,1,26000
0,0,0,0,0,1,32,0,0,0,0,1,18000
0,0,0,0,0,1,27,0,1,0,0,1,30000
0,0,0,0,0,1,28,1,1,1,0,0,32000
0,0,0,0,0,1,27,1,0,1,0,0,45000
0,0,0,0,0,1,27,0,0,1,0,0,29000
0,0,0,0,0,1,27,0,1,0,0,1,29500
0,0,0,0,0,1,23,0,0,0,0,1,13000
0,0,0,0,0,1,34,1,1,1,0,0,35000
0,0,0,0,0,1,31,1,0,0,0,1,40800
0,0,0,0,0,1,28,0,0,0,0,1,65000
0,0,0,0,0,1,27,0,1,0,0,1,85000
0,0,0,0,0,1,35,1,0,0,0,1,54000
0,0,0,0,0,1,28,1,1,1,0,0,107180
0,0,0,0,0,1,28,1,0,0,0,1,42180
0,0,0,0,0,1,28,1,0,1,0,0,4400
0,0,0,0,0,1,30,1,1,0,0,1,55000
0,0,0,0,0,1,34,1,0,0,0,1,10000
0,0,0,0,0,1,22,0,0,0,0,1,10000
0,0,0,0,0,1,30,1,1,0,0,1,10000
0,0,0,0,0,1,28,1,1,0,0,1,32000
0,0,0,0,0,1,22,0,0,0,0,1,20000
0,0,0,0,0,1,23,0,1,0,0,1,13000
0,0,0,0,0,1,34,1,0,0,0,1,15000
0,0,0,0,0,1,28,1,0,0,0,1,16000
0,0,0,0,0,1,35,1,1,0,0,1,21000
0,0,0,0,0,1,29,0,1,0,0,1,34000
0,0,0,0,0,1,30,0,0,0,0,1,30000
0,0,0,0,0,1,28,1,1,0,0,1,1200
0,0,0,0,0,1,27,1,0,0,0,1,34470
0,0,0,0,0,1,32,0,0,0,0,1,21940
0,0,0,0,0,1,31,0,1,0,0,1,60000
0,0,0,0,0,1,32,0,0,0,0,1,28900
0,0,0,0,0,1,22,0,1,0,0,1,21600
0,0,0,0,0,1,22,0,1,0,0,1,12000
0,0,0,0,0,1,22,0,0,0,0,1,5000
0,0,0,0,0,1,27,0,1,0,0,1,31300
0,0,0,0,0,1,23,0,0,0,0,1,11000
0,0,0,0,0,1,34,0,1,1,0,0,200000
0,0,0,0,0,1,24,1,0,0,0,1,45000
0,0,0,0,0,1,31,0,0,1,0,0,57300
0,0,0,0,0,1,25,0,0,0,0,1,3200
0,0,0,0,0,1,32,1,0,1,0,0,13000
0,0,0,0,0,1,34,1,1,1,0,0,58000
0,0,0,0,0,1,22,0,0,0,0,1,4200
0,0,0,0,0,1,35,0,0,0,0,1,14400
0,0,0,0,0,1,22,0,1,0,0,1,3000
0,0,0,0,0,1,25,0,0,1,0,0,24000
0,0,0,0,0,1,31,0,0,0,0,1,12000
0,0,0,0,0,1,25,0,0,1,0,0,29000
0,0,0,0,0,1,24,0,1,0,0,1,13000
0,0,0,0,0,1,32,1,0,0,0,1,13000
0,0,0,0,0,1,28,0,1,0,0,1,45600
0,0,0,0,0,1,30,0,0,0,0,1,35200
0,0,0,0,0,1,24,0,0,0,0,1,34000
0,0,0,0,0,1,25,1,0,0,0,1,19100
0,0,0,0,0,1,30,1,1,0,0,1,26900
0,0,0,0,0,1,28,0,1,0,0,1,32350
0,0,0,0,0,1,22,0,0,0,0,1,9000
0,0,0,0,0,1,25,1,0,0,0,1,16950
0,0,0,0,0,1,31,1,1,0,0,1,59000
0,0,0,0,0,1,22,1,0,1,0,0,10000
0,0,0,0,0,1,25,1,1,0,0,1,8000
0,0,0,0,0,1,26,1,0,0,0,1,24000
0,0,0,0,0,1,25,1,1,0,0,1,10000
0,0,0,0,0,1,33,1,0,0,0,1,46000
0,0,0,0,0,1,30,1,1,0,0,1,60000
0,0,0,0,0,1,30,1,0,1,0,0,43100
0,0,0,0,0,1,32,1,1,1,0,0,52100
0,0,0,0,0,1,29,1,1,1,0,0,42000
0,0,0,0,0,1,30,1,0,0,0,1,9000
0,0,0,0,0,1,25,1,1,0,0,1,670
0,0,0,0,0,1,27,1,0,0,0,1,34000
0,0,0,0,0,1,25,0,0,0,0,1,8760
0,0,0,0,0,1,30,1,0,0,0,1,27000
0,0,0,0,0,1,35,1,1,0,0,1,25000
0,0,0,0,0,1,35,0,0,0,0,1,20000
0,0,0,0,0,1,24,0,0,0,0,1,11000
0,0,0,0,0,1,28,0,0,0,0,1,11000
0,0,0,0,0,1,29,0,1,0,0,1,9700
0,0,0,0,0,1,22,0,1,0,0,1,14030
0,0,0,0,0,1,26,0,0,0,0,1,34100
0,0,0,0,0,1,29,0,1,0,0,1,43000
0,0,0,0,0,1,25,1,1,0,0,1,40000
0,0,0,0,0,1,26,0,1,0,0,1,31000
0,0,0,0,0,1,26,1,0,0,0,1,2400
0,0,0,0,0,1,29,1,1,0,0,1,58000
0,0,0,0,0,1,30,0,1,0,0,1,480
0,0,0,0,0,1,35,0,0,0,0,1,20000
0,0,0,0,0,1,33,0,0,0,0,1,69300
0,0,0,0,0,1,22,0,0,0,0,1,22000
0,0,0,0,0,1,27,0,1,0,0,1,7000
0,0,0,0,0,1,31,0,0,0,0,1,8900
0,0,0,0,0,1,34,1,1,0,0,1,75200
0,0,0,0,0,1,32,1,0,1,0,0,180000
0,0,0,0,0,1,30,0,1,0,0,1,5200
0,0,0,0,0,1,24,0,0,0,0,1,25000
0,0,0,0,0,1,28,0,1,0,0,1,15000
0,0,0,0,0,1,26,0,0,0,0,1,31000
0,0,0,0,0,1,34,1,1,0,0,1,35000
0,0,0,0,0,1,33,1,0,0,0,1,1000
0,0,0,0,0,1,23,0,0,0,0,1,30000
0,0,0,0,0,1,33,0,1,0,0,1,158000
0,0,0,0,0,1,25,0,0,0,0,1,7200
0,0,0,0,0,1,34,1,1,0,0,1,10000
0,0,0,0,0,1,32,1,1,0,0,1,52000
0,0,0,0,0,1,29,1,0,0,0,1,24000
0,0,0,0,0,1,26,0,1,0,0,1,40100
0,0,0,0,0,1,22,0,0,0,0,1,12000
0,0,0,0,0,1,27,0,1,0,0,1,13000
0,0,0,0,0,1,34,1,0,0,0,1,3000
0,0,0,0,0,1,24,0,1,0,0,1,750
0,0,0,0,0,1,26,1,1,0,0,1,60000
0,0,0,0,0,1,25,1,0,0,0,1,6200
0,0,0,0,0,1,24,0,1,0,0,1,31200
0,0,0,0,0,1,22,0,0,0,0,1,12500
0,0,0,0,0,1,26,0,0,1,0,0,44500
0,0,0,0,0,1,24,0,1,0,0,1,12800
0,0,0,0,0,1,26,0,1,0,0,1,30000
0,0,0,0,0,1,26,0,1,1,0,0,60000
0,0,0,0,0,1,26,0,1,0,0,1,32100
0,0,0,0,0,1,25,0,1,1,0,0,58000
0,0,0,0,0,1,25,0,1,0,0,1,8700
0,0,0,0,0,1,35,0,1,0,0,1,37000
0,0,0,0,0,1,34,1,1,0,0,1,90000
0,0,0,0,0,1,32,1,0,0,0,1,1200
0,0,0,0,0,1,31,1,1,0,0,1,33600
0,0,0,0,0,1,23,1,0,0,0,1,16500
0,0,0,0,0,1,29,1,0,0,0,1,18800
0,0,0,0,0,1,29,0,0,0,0,1,10200
0,0,0,0,0,1,29,0,1,0,0,1,20000
0,0,0,0,0,1,22,0,0,0,0,1,16000
0,0,0,0,0,1,26,0,0,0,0,1,43200
0,0,0,0,0,1,26,0,1,0,0,1,38000
0,0,0,0,0,1,30,1,0,0,0,1,26800
0,0,0,0,0,1,31,1,1,0,0,1,73000
0,0,0,0,0,1,24,0,1,0,0,1,25000
0,0,0,0,0,1,34,1,1,1,0,0,101000
0,0,0,0,0,1,30,1,0,1,0,0,25000
0,0,0,0,0,1,35,0,1,0,0,1,11400
0,0,0,0,0,1,28,1,0,0,0,1,500
0,0,0,0,0,1,35,0,1,0,0,1,67000
0,0,0,0,0,1,22,0,0,0,0,1,22000
0,0,0,0,0,1,29,1,1,1,0,0,31000
0,0,0,0,0,1,23,1,0,0,0,1,18000
0,0,0,0,0,1,26,0,0,0,0,1,900
0,0,0,0,0,1,22,1,0,0,0,1,6000
0,0,0,0,0,1,24,1,1,1,0,0,4000
0,0,0,0,0,1,26,0,1,1,0,0,6000
0,0,0,0,0,1,24,0,1,0,0,1,8000
0,0,0,0,0,1,25,0,1,1,0,0,50000
0,0,0,0,0,1,24,0,1,1,0,0,57000
0,0,0,0,0,1,34,1,0,0,0,1,2000
0,0,0,0,0,1,33,1,1,0,0,1,90000
0,0,0,0,0,1,33,1,1,0,0,1,5100
0,0,0,0,0,1,26,1,1,0,0,1,40000
0,0,0,0,0,1,28,0,0,1,0,0,38004
0,0,0,0,0,1,25,0,1,0,0,1,42000
0,0,0,0,0,1,26,1,0,0,0,1,17000
0,0,0,0,0,1,29,1,1,0,0,1,57000
0,0,0,0,0,1,33,0,0,0,0,1,19500
0,0,0,0,0,1,33,1,0,0,0,1,31000
0,0,0,0,0,1,25,1,1,0,0,1,41100
0,0,0,0,0,1,25,1,0,0,0,1,16700
0,0,0,0,0,1,22,0,1,0,0,1,5000
0,0,0,0,0,1,30,1,1,0,0,1,25000
0,0,0,0,0,1,28,0,0,0,0,1,63000
0,0,0,0,0,1,27,0,0,0,0,1,70000
0,0,0,0,0,1,30,0,1,0,0,1,55000
0,0,0,0,0,1,32,0,1,1,0,0,87000
0,0,0,0,0,1,28,0,0,0,0,1,34600
0,0,0,0,0,1,31,1,1,1,0,0,63000
0,0,0,0,0,1,23,1,1,0,0,1,38100
0,0,0,0,0,1,29,0,1,0,0,1,8400
0,0,0,0,0,1,24,0,1,0,0,1,15900
0,0,0,0,0,1,26,1,1,0,0,1,40000
0,0,0,0,0,1,23,1,0,0,0,1,1000
0,0,0,0,0,1,25,0,0,0,0,1,25000
0,0,0,0,0,1,31,0,0,0,0,1,11000
0,0,0,0,0,1,24,0,0,0,0,1,40200
0,0,0,0,0,1,30,0,1,0,0,1,55000
0,0,0,0,0,1,34,1,0,0,0,1,40000
0,0,0,0,0,1,22,0,0,0,0,1,30000
0,0,0,0,0,1,23,0,0,1,0,0,5000
0,0,0,0,0,1,25,1,0,0,0,1,5000
0,0,0,0,0,1,34,1,0,0,0,1,40000
0,0,0,0,0,1,33,1,1,0,0,1,41000
